COUNTRY_NAME;COUNTRY_CODE;YEAR;FIELD_REFERENCE;MONTHLY_VALUE
Australia;AUS;2014;Economic activity (ISIC-Rev.4): Total;4887,08
Australia;AUS;2014;Economic activity (Aggregate): Total;4887,08
Australia;AUS;2016;Economic activity (ISIC-Rev.4): Total;4185,84
Australia;AUS;2016;Economic activity (Aggregate): Total;4185,84
Australia;AUS;2018;Economic activity (ISIC-Rev.4): Total;4467,22
Australia;AUS;2018;Economic activity (Aggregate): Total;4467,22
Austria;AUT;2010;Economic activity (ISIC-Rev.4): Total;3379,25
Austria;AUT;2010;Economic activity (Aggregate): Total;3379,25
Austria;AUT;2014;Economic activity (ISIC-Rev.4): Total;3727,77
Austria;AUT;2014;Economic activity (Aggregate): Total;3727,77
Austria;AUT;2011;Economic activity (ISIC-Rev.4): Total;3365,75
Austria;AUT;2011;Economic activity (Aggregate): Total;3365,75
Austria;AUT;2012;Economic activity (ISIC-Rev.4): Total;3182,42
Austria;AUT;2012;Economic activity (Aggregate): Total;3182,42
Austria;AUT;2013;Economic activity (ISIC-Rev.4): Total;3337,56
Austria;AUT;2013;Economic activity (Aggregate): Total;3337,56
Austria;AUT;2015;Economic activity (ISIC-Rev.4): Total;2883,62
Austria;AUT;2015;Economic activity (Aggregate): Total;2883,62
Austria;AUT;2016;Economic activity (ISIC-Rev.4): Total;2928,87
Austria;AUT;2016;Economic activity (Aggregate): Total;2928,87
Austria;AUT;2017;Economic activity (ISIC-Rev.4): Total;3037,71
Austria;AUT;2017;Economic activity (Aggregate): Total;3037,71
Austria;AUT;2018;Economic activity (ISIC-Rev.4): Total;3268,88
Austria;AUT;2018;Economic activity (Aggregate): Total;3268,88
Austria;AUT;2019;Economic activity (ISIC-Rev.4): Total;3187,14
Austria;AUT;2019;Economic activity (Aggregate): Total;3187,14
Azerbaijan;AZE;2010;Economic activity (ISIC-Rev.4): Total;413,01
Azerbaijan;AZE;2010;Economic activity (Aggregate): Total;413,01
Azerbaijan;AZE;2011;Economic activity (ISIC-Rev.4): Total;461,2
Azerbaijan;AZE;2011;Economic activity (Aggregate): Total;461,2
Azerbaijan;AZE;2012;Economic activity (ISIC-Rev.4): Total;507,1
Azerbaijan;AZE;2012;Economic activity (Aggregate): Total;507,1
Azerbaijan;AZE;2013;Economic activity (ISIC-Rev.4): Total;541,85
Azerbaijan;AZE;2013;Economic activity (Aggregate): Total;541,85
Azerbaijan;AZE;2014;Economic activity (ISIC-Rev.4): Total;566,71
Azerbaijan;AZE;2014;Economic activity (Aggregate): Total;566,71
Azerbaijan;AZE;2015;Economic activity (ISIC-Rev.4): Total;455,71
Azerbaijan;AZE;2015;Economic activity (Aggregate): Total;455,71
Azerbaijan;AZE;2016;Economic activity (ISIC-Rev.4): Total;313,21
Azerbaijan;AZE;2016;Economic activity (Aggregate): Total;313,21
Azerbaijan;AZE;2017;Economic activity (ISIC-Rev.4): Total;307,06
Azerbaijan;AZE;2017;Economic activity (Aggregate): Total;307,06
Azerbaijan;AZE;2018;Economic activity (ISIC-Rev.4): Total;320,35
Azerbaijan;AZE;2018;Economic activity (Aggregate): Total;320,35
Azerbaijan;AZE;2019;Economic activity (ISIC-Rev.4): Total;373,41
Azerbaijan;AZE;2019;Economic activity (Aggregate): Total;373,41
Bahrain;BHR;2015;Economic activity (ISIC-Rev.3.1): Total;2087,77
Bahrain;BHR;2015;Economic activity (Aggregate): Total;2087,77
Bahrain;BHR;2016;Economic activity (ISIC-Rev.3.1): Total;2191,49
Bahrain;BHR;2016;Economic activity (Aggregate): Total;2191,49
Bahrain;BHR;2017;Economic activity (ISIC-Rev.3.1): Total;2226,06
Bahrain;BHR;2017;Economic activity (Aggregate): Total;2226,06
Bahrain;BHR;2018;Economic activity (ISIC-Rev.3.1): Total;2268,62
Bahrain;BHR;2018;Economic activity (Aggregate): Total;2268,62
Bangladesh;BGD;2016;Economic activity (ISIC-Rev.4): Total;164,59
Bangladesh;BGD;2016;Economic activity (Aggregate): Total;164,59
Bangladesh;BGD;2017;Economic activity (ISIC-Rev.4): Total;149,38
Bangladesh;BGD;2017;Economic activity (Aggregate): Total;149,38
Barbados;BRB;2016;Economic activity (ISIC-Rev.4): Total;1340,12
Barbados;BRB;2016;Economic activity (Aggregate): Total;1340,12
Belarus;BLR;2010;Economic activity (ISIC-Rev.3.1): Total;527,23
Belarus;BLR;2010;Economic activity (Aggregate): Total;527,23
Belarus;BLR;2011;Economic activity (ISIC-Rev.3.1): Total;568,77
Belarus;BLR;2011;Economic activity (Aggregate): Total;568,77
Belarus;BLR;2012;Economic activity (ISIC-Rev.3.1): Total;558,56
Belarus;BLR;2012;Economic activity (Aggregate): Total;558,56
Belarus;BLR;2013;Economic activity (ISIC-Rev.3.1): Total;647,01
Belarus;BLR;2013;Economic activity (Aggregate): Total;647,01
Belarus;BLR;2016;Economic activity (ISIC-Rev.4): Total;385,21
Belarus;BLR;2016;Economic activity (Aggregate): Total;385,21
Belarus;BLR;2017;Economic activity (ISIC-Rev.4): Total;498,51
Belarus;BLR;2017;Economic activity (Aggregate): Total;498,51
Belarus;BLR;2018;Economic activity (ISIC-Rev.4): Total;537,39
Belarus;BLR;2018;Economic activity (Aggregate): Total;537,39
Belarus;BLR;2019;Economic activity (ISIC-Rev.4): Total;578,88
Belarus;BLR;2019;Economic activity (Aggregate): Total;578,88
Belgium;BEL;2011;Economic activity (ISIC-Rev.4): Total;4019,97
Belgium;BEL;2011;Economic activity (Aggregate): Total;4019,97
Belgium;BEL;2013;Economic activity (ISIC-Rev.4): Total;3952,48
Belgium;BEL;2013;Economic activity (Aggregate): Total;3952,48
Belgium;BEL;2014;Economic activity (ISIC-Rev.4): Total;3929,71
Belgium;BEL;2014;Economic activity (Aggregate): Total;3929,71
Belgium;BEL;2015;Economic activity (ISIC-Rev.4): Total;3419,52
Belgium;BEL;2015;Economic activity (Aggregate): Total;3419,52
Belgium;BEL;2016;Economic activity (ISIC-Rev.4): Total;3421,44
Belgium;BEL;2016;Economic activity (Aggregate): Total;3421,44
Belgium;BEL;2017;Economic activity (ISIC-Rev.4): Total;3552,85
Belgium;BEL;2017;Economic activity (Aggregate): Total;3552,85
Belgium;BEL;2018;Economic activity (ISIC-Rev.4): Total;3793,23
Belgium;BEL;2018;Economic activity (Aggregate): Total;3793,23
Belize;BLZ;2014;Economic activity (ISIC-Rev.4): Total;753,03
Belize;BLZ;2014;Economic activity (Aggregate): Total;753,03
Belize;BLZ;2015;Economic activity (ISIC-Rev.4): Total;599,35
Belize;BLZ;2015;Economic activity (Aggregate): Total;599,35
Belize;BLZ;2016;Economic activity (ISIC-Rev.4): Total;579,2
Belize;BLZ;2016;Economic activity (Aggregate): Total;579,2
Belize;BLZ;2017;Economic activity (ISIC-Rev.4): Total;599,06
Belize;BLZ;2017;Economic activity (Aggregate): Total;599,06
Belize;BLZ;2018;Economic activity (ISIC-Rev.4): Total;608,98
Belize;BLZ;2018;Economic activity (Aggregate): Total;608,98
Belize;BLZ;2019;Economic activity (ISIC-Rev.4): Total;634,86
Belize;BLZ;2019;Economic activity (Aggregate): Total;634,86
Benin;BEN;2011;Economic activity (Aggregate): Total;0,18
Bermuda;BMU;2010;Economic activity (ISIC-Rev.3.1): Total;5835,5
Bermuda;BMU;2010;Economic activity (Aggregate): Total;5835,5
Bermuda;BMU;2012;Economic activity (ISIC-Rev.3.1): Total;5869,8
Bermuda;BMU;2012;Economic activity (Aggregate): Total;5869,8
Bermuda;BMU;2013;Economic activity (ISIC-Rev.3.1): Total;6221,1
Bermuda;BMU;2013;Economic activity (Aggregate): Total;6221,1
Bolivia;BOL;2011;Economic activity (ISIC-Rev.4): Total;294,38
Bolivia;BOL;2011;Economic activity (Aggregate): Total;294,38
Bolivia;BOL;2012;Economic activity (ISIC-Rev.4): Total;335,36
Bolivia;BOL;2012;Economic activity (Aggregate): Total;335,36
Bolivia;BOL;2013;Economic activity (ISIC-Rev.4): Total;377,84
Bolivia;BOL;2013;Economic activity (Aggregate): Total;377,84
Bolivia;BOL;2014;Economic activity (ISIC-Rev.4): Total;392,45
Bolivia;BOL;2014;Economic activity (Aggregate): Total;392,45
Bolivia;BOL;2015;Economic activity (ISIC-Rev.4): Total;852,19
Bolivia;BOL;2015;Economic activity (Aggregate): Total;852,19
Bolivia;BOL;2016;Economic activity (ISIC-Rev.4): Total;914,14
Bolivia;BOL;2016;Economic activity (Aggregate): Total;914,14
Bolivia;BOL;2017;Economic activity (ISIC-Rev.4): Total;948,13
Bolivia;BOL;2017;Economic activity (Aggregate): Total;948,13
Bolivia;BOL;2018;Economic activity (ISIC-Rev.4): Total;991,49
Bolivia;BOL;2018;Economic activity (Aggregate): Total;991,49
Bolivia;BOL;2019;Economic activity (ISIC-Rev.4): Total;987,72
Bolivia;BOL;2019;Economic activity (Aggregate): Total;987,72
Bosnia and Herzegovina;BIH;2010;Economic activity (ISIC-Rev.3.1): Total;471,49
Bosnia and Herzegovina;BIH;2010;Economic activity (Aggregate): Total;471,49
Bosnia and Herzegovina;BIH;2011;Economic activity (ISIC-Rev.3.1): Total;501,31
Bosnia and Herzegovina;BIH;2011;Economic activity (Aggregate): Total;501,31
Bosnia and Herzegovina;BIH;2012;Economic activity (ISIC-Rev.4): Total;458,74
Bosnia and Herzegovina;BIH;2012;Economic activity (Aggregate): Total;458,74
Bosnia and Herzegovina;BIH;2013;Economic activity (ISIC-Rev.4): Total;493
Bosnia and Herzegovina;BIH;2013;Economic activity (Aggregate): Total;493
Bosnia and Herzegovina;BIH;2014;Economic activity (ISIC-Rev.4): Total;507,31
Bosnia and Herzegovina;BIH;2014;Economic activity (Aggregate): Total;507,31
Bosnia and Herzegovina;BIH;2015;Economic activity (ISIC-Rev.4): Total;418,74
Bosnia and Herzegovina;BIH;2015;Economic activity (Aggregate): Total;418,74
Bosnia and Herzegovina;BIH;2016;Economic activity (ISIC-Rev.4): Total;420,61
Bosnia and Herzegovina;BIH;2016;Economic activity (Aggregate): Total;420,61
Bosnia and Herzegovina;BIH;2017;Economic activity (ISIC-Rev.4): Total;432,34
Bosnia and Herzegovina;BIH;2017;Economic activity (Aggregate): Total;432,34
Bosnia and Herzegovina;BIH;2018;Economic activity (ISIC-Rev.4): Total;470,3
Bosnia and Herzegovina;BIH;2018;Economic activity (Aggregate): Total;470,3
Bosnia and Herzegovina;BIH;2019;Economic activity (ISIC-Rev.4): Total;474,54
Bosnia and Herzegovina;BIH;2019;Economic activity (Aggregate): Total;474,54
Botswana;BWA;2019;Economic activity (ISIC-Rev.4): Total;476,62
Botswana;BWA;2019;Economic activity (Aggregate): Total;476,62
Botswana;BWA;2010;Economic activity (ISIC-Rev.3.1): Total;683,14
Botswana;BWA;2010;Economic activity (Aggregate): Total;683,14
Botswana;BWA;2011;Economic activity (ISIC-Rev.3.1): Total;691,85
Botswana;BWA;2011;Economic activity (Aggregate): Total;691,85
Brazil;BRA;2012;Economic activity (ISIC-Rev.4): Total;724,4
Brazil;BRA;2012;Economic activity (Aggregate): Total;724,4
Brazil;BRA;2013;Economic activity (ISIC-Rev.4): Total;710,91
Brazil;BRA;2013;Economic activity (Aggregate): Total;710,91
Brazil;BRA;2014;Economic activity (ISIC-Rev.4): Total;711,46
Brazil;BRA;2014;Economic activity (Aggregate): Total;711,46
Brazil;BRA;2015;Economic activity (ISIC-Rev.4): Total;551,74
Brazil;BRA;2015;Economic activity (Aggregate): Total;551,74
Brazil;BRA;2016;Economic activity (ISIC-Rev.4): Total;589,6
Brazil;BRA;2016;Economic activity (Aggregate): Total;589,6
Brazil;BRA;2017;Economic activity (ISIC-Rev.4): Total;681,06
Brazil;BRA;2017;Economic activity (Aggregate): Total;681,06
Brazil;BRA;2018;Economic activity (ISIC-Rev.4): Total;625,23
Brazil;BRA;2018;Economic activity (Aggregate): Total;625,23
Brazil;BRA;2019;Economic activity (ISIC-Rev.4): Total;603,46
Brazil;BRA;2019;Economic activity (Aggregate): Total;603,46
Brazil;BRA;2011;Economic activity (ISIC-Rev.3.1): Total;730,51
Brazil;BRA;2011;Economic activity (Aggregate): Total;730,51
Brunei Darussalam;BRN;2014;Economic activity (ISIC-Rev.4): Total;1651,35
Brunei Darussalam;BRN;2014;Economic activity (Aggregate): Total;1651,35
Bulgaria;BGR;2010;Economic activity (ISIC-Rev.4): Total;438,61
Bulgaria;BGR;2010;Economic activity (Aggregate): Total;438,61
Bulgaria;BGR;2011;Economic activity (ISIC-Rev.4): Total;487,75
Bulgaria;BGR;2011;Economic activity (Aggregate): Total;487,75
Bulgaria;BGR;2012;Economic activity (ISIC-Rev.4): Total;480,33
Bulgaria;BGR;2012;Economic activity (Aggregate): Total;480,33
Bulgaria;BGR;2013;Economic activity (ISIC-Rev.4): Total;525,93
Bulgaria;BGR;2013;Economic activity (Aggregate): Total;525,93
Bulgaria;BGR;2014;Economic activity (ISIC-Rev.4): Total;557,6
Bulgaria;BGR;2014;Economic activity (Aggregate): Total;557,6
Bulgaria;BGR;2015;Economic activity (ISIC-Rev.4): Total;497,62
Bulgaria;BGR;2015;Economic activity (Aggregate): Total;497,62
Bulgaria;BGR;2016;Economic activity (ISIC-Rev.4): Total;536,19
Bulgaria;BGR;2016;Economic activity (Aggregate): Total;536,19
Bulgaria;BGR;2017;Economic activity (ISIC-Rev.4): Total;597,54
Bulgaria;BGR;2017;Economic activity (Aggregate): Total;597,54
Bulgaria;BGR;2018;Economic activity (ISIC-Rev.4): Total;691,59
Bulgaria;BGR;2018;Economic activity (Aggregate): Total;691,59
Burkina Faso;BFA;2018;Economic activity (ISIC-Rev.4): Total;192,68
Burkina Faso;BFA;2018;Economic activity (Aggregate): Total;192,68
Burundi;BDI;2014;Economic activity (ISIC-Rev.4): Total;41,4
Burundi;BDI;2014;Economic activity (Aggregate): Total;41,4
Cambodia;KHM;2012;Economic activity (ISIC-Rev.4): Total;120,52
Cambodia;KHM;2012;Economic activity (Aggregate): Total;120,52
Cambodia;KHM;2010;Economic activity (ISIC-Rev.4): Total;90,11
Cambodia;KHM;2010;Economic activity (Aggregate): Total;90,11
Cambodia;KHM;2011;Economic activity (ISIC-Rev.4): Total;100,37
Cambodia;KHM;2011;Economic activity (Aggregate): Total;100,37
Cambodia;KHM;2013;Economic activity (ISIC-Rev.4): Total;123,88
Cambodia;KHM;2013;Economic activity (Aggregate): Total;123,88
Cambodia;KHM;2014;Economic activity (ISIC-Rev.4): Total;154,88
Cambodia;KHM;2014;Economic activity (Aggregate): Total;154,88
Cambodia;KHM;2015;Economic activity (ISIC-Rev.4): Total;164,23
Cambodia;KHM;2015;Economic activity (Aggregate): Total;164,23
Cambodia;KHM;2016;Economic activity (ISIC-Rev.4): Total;183,56
Cambodia;KHM;2016;Economic activity (Aggregate): Total;183,56
Cambodia;KHM;2017;Economic activity (ISIC-Rev.4): Total;236,48
Cambodia;KHM;2017;Economic activity (Aggregate): Total;236,48
Cameroon;CMR;2014;Economic activity (ISIC-Rev.4): Total;276,89
Cameroon;CMR;2014;Economic activity (Aggregate): Total;276,89
Canada;CAN;2010;Economic activity (Aggregate): Total;3435,69
Canada;CAN;2011;Economic activity (Aggregate): Total;3662,62
Canada;CAN;2012;Economic activity (Aggregate): Total;3742,07
Canada;CAN;2013;Economic activity (Aggregate): Total;3708,02
Canada;CAN;2014;Economic activity (Aggregate): Total;3520,01
Canada;CAN;2015;Economic activity (Aggregate): Total;3125,56
Canada;CAN;2016;Economic activity (Aggregate): Total;3073,39
Canada;CAN;2017;Economic activity (ISIC-Rev.3.1): Total;3188,65
Canada;CAN;2017;Economic activity (Aggregate): Total;3188,65
Canada;CAN;2018;Economic activity (ISIC-Rev.3.1): Total;3288,49
Canada;CAN;2018;Economic activity (Aggregate): Total;3288,49
Canada;CAN;2019;Economic activity (ISIC-Rev.3.1): Total;3314,42
Canada;CAN;2019;Economic activity (Aggregate): Total;3316,64
Cape Verde;CPV;2015;Economic activity (ISIC-Rev.4): Total;323,92
Cape Verde;CPV;2015;Economic activity (Aggregate): Total;323,92
Chad;TCD;2018;Economic activity (ISIC-Rev.4): Total;219,16
Chad;TCD;2018;Economic activity (Aggregate): Total;219,16
Chile;CHL;2011;Economic activity (ISIC-Rev.3.1): Total;886,25
Chile;CHL;2011;Economic activity (Aggregate): Total;886,25
Chile;CHL;2013;Economic activity (ISIC-Rev.3.1): Total;952,11
Chile;CHL;2013;Economic activity (Aggregate): Total;952,11
Chile;CHL;2015;Economic activity (ISIC-Rev.3.1): Total;808,79
Chile;CHL;2015;Economic activity (Aggregate): Total;808,79
Chile;CHL;2016;Economic activity (ISIC-Rev.3.1): Total;975,27
Chile;CHL;2016;Economic activity (Aggregate): Total;975,27
Chile;CHL;2017;Economic activity (ISIC-Rev.4): Total;1166,32
Chile;CHL;2017;Economic activity (Aggregate): Total;1166,32
Chile;CHL;2019;Economic activity (ISIC-Rev.4): Total;1151,5
Chile;CHL;2019;Economic activity (Aggregate): Total;1151,5
China;CHN;2010;Economic activity (ISIC-Rev.4): Total;449,76
China;CHN;2010;Economic activity (Aggregate): Total;449,76
China;CHN;2011;Economic activity (ISIC-Rev.4): Total;539,04
China;CHN;2011;Economic activity (Aggregate): Total;539,04
China;CHN;2012;Economic activity (ISIC-Rev.4): Total;617,43
China;CHN;2012;Economic activity (Aggregate): Total;617,43
China;CHN;2013;Economic activity (ISIC-Rev.4): Total;692,45
China;CHN;2013;Economic activity (Aggregate): Total;692,45
China;CHN;2014;Economic activity (ISIC-Rev.4): Total;764,5
China;CHN;2014;Economic activity (Aggregate): Total;764,5
China;CHN;2015;Economic activity (ISIC-Rev.4): Total;830,03
China;CHN;2015;Economic activity (Aggregate): Total;830,03
China;CHN;2016;Economic activity (ISIC-Rev.4): Total;847,43
China;CHN;2016;Economic activity (Aggregate): Total;847,43
Colombia;COL;2010;Economic activity (ISIC-Rev.3.1): Total;452,02
Colombia;COL;2010;Economic activity (Aggregate): Total;452,02
Colombia;COL;2011;Economic activity (ISIC-Rev.3.1): Total;480,8
Colombia;COL;2011;Economic activity (Aggregate): Total;480,8
Colombia;COL;2012;Economic activity (ISIC-Rev.3.1): Total;510,82
Colombia;COL;2012;Economic activity (Aggregate): Total;510,82
Colombia;COL;2013;Economic activity (ISIC-Rev.3.1): Total;524,67
Colombia;COL;2013;Economic activity (Aggregate): Total;524,67
Colombia;COL;2014;Economic activity (ISIC-Rev.3.1): Total;519,66
Colombia;COL;2014;Economic activity (Aggregate): Total;519,66
Colombia;COL;2015;Economic activity (ISIC-Rev.3.1): Total;381,16
Colombia;COL;2015;Economic activity (Aggregate): Total;381,16
Colombia;COL;2016;Economic activity (ISIC-Rev.3.1): Total;364,21
Colombia;COL;2016;Economic activity (Aggregate): Total;364,21
Colombia;COL;2017;Economic activity (ISIC-Rev.3.1): Total;398,76
Colombia;COL;2017;Economic activity (Aggregate): Total;398,76
Colombia;COL;2018;Economic activity (ISIC-Rev.3.1): Total;416,72
Colombia;COL;2018;Economic activity (Aggregate): Total;416,72
Colombia;COL;2019;Economic activity (ISIC-Rev.3.1): Total;398,07
Colombia;COL;2019;Economic activity (Aggregate): Total;398,07
Comoros;COM;2014;Economic activity (ISIC-Rev.4): Total;227,85
Comoros;COM;2014;Economic activity (Aggregate): Total;227,85
Democratic Republic of the Congo;COD;2012;Economic activity (ISIC-Rev.4): Total;98,68
Democratic Republic of the Congo;COD;2012;Economic activity (Aggregate): Total;98,68
Costa Rica;CRI;2018;Economic activity (ISIC-Rev.4): Total;52,72
Costa Rica;CRI;2018;Economic activity (Aggregate): Total;52,72
Costa Rica;CRI;2010;Economic activity (ISIC-Rev.3.1): Total;713,44
Costa Rica;CRI;2010;Economic activity (Aggregate): Total;713,44
Costa Rica;CRI;2011;Economic activity (ISIC-Rev.4): Total;774,43
Costa Rica;CRI;2011;Economic activity (Aggregate): Total;774,43
Costa Rica;CRI;2012;Economic activity (ISIC-Rev.4): Total;865,63
Costa Rica;CRI;2012;Economic activity (Aggregate): Total;865,63
Costa Rica;CRI;2013;Economic activity (ISIC-Rev.4): Total;948,05
Costa Rica;CRI;2013;Economic activity (Aggregate): Total;948,05
Costa Rica;CRI;2014;Economic activity (ISIC-Rev.4): Total;904,63
Costa Rica;CRI;2014;Economic activity (Aggregate): Total;904,63
Costa Rica;CRI;2017;Economic activity (ISIC-Rev.4): Total;911,54
Costa Rica;CRI;2017;Economic activity (Aggregate): Total;911,54
Costa Rica;CRI;2019;Economic activity (ISIC-Rev.4): Total;929,38
Costa Rica;CRI;2019;Economic activity (Aggregate): Total;929,38
Costa Rica;CRI;2015;Economic activity (ISIC-Rev.4): Total;987,93
Costa Rica;CRI;2015;Economic activity (Aggregate): Total;987,93
Costa Rica;CRI;2016;Economic activity (ISIC-Rev.4): Total;935,95
Costa Rica;CRI;2016;Economic activity (Aggregate): Total;935,95
Ivory Coast;CIV;2012;Economic activity (ISIC-Rev.3.1): Total;150,69
Ivory Coast;CIV;2012;Economic activity (Aggregate): Total;150,69
Ivory Coast;CIV;2013;Economic activity (ISIC-Rev.3.1): Total;231,44
Ivory Coast;CIV;2013;Economic activity (Aggregate): Total;231,44
Ivory Coast;CIV;2017;Economic activity (ISIC-Rev.4): Total;190,07
Ivory Coast;CIV;2017;Economic activity (Aggregate): Total;190,07
Croatia;HRV;2010;Economic activity (ISIC-Rev.4): Total;1396,32
Croatia;HRV;2010;Economic activity (Aggregate): Total;1396,32
Croatia;HRV;2011;Economic activity (ISIC-Rev.4): Total;1454,38
Croatia;HRV;2011;Economic activity (Aggregate): Total;1454,38
Croatia;HRV;2014;Economic activity (ISIC-Rev.4): Total;1404,45
Croatia;HRV;2014;Economic activity (Aggregate): Total;1404,45
Curaçao;CUW;2018;Economic activity (ISIC-Rev.4): Total;1494,46
Curaçao;CUW;2018;Economic activity (Aggregate): Total;1494,46
Cyprus;CYP;2010;Economic activity (ISIC-Rev.4): Total;2655,41
Cyprus;CYP;2010;Economic activity (Aggregate): Total;2655,41
Cyprus;CYP;2014;Economic activity (ISIC-Rev.4): Total;2444,44
Cyprus;CYP;2014;Economic activity (Aggregate): Total;2444,44
Cyprus;CYP;2011;Economic activity (ISIC-Rev.4): Total;2758,86
Cyprus;CYP;2011;Economic activity (Aggregate): Total;2758,86
Cyprus;CYP;2013;Economic activity (ISIC-Rev.4): Total;2583,19
Cyprus;CYP;2013;Economic activity (Aggregate): Total;2583,19
Cyprus;CYP;2015;Economic activity (ISIC-Rev.4): Total;174,01
Cyprus;CYP;2015;Economic activity (Aggregate): Total;174,01
Cyprus;CYP;2016;Economic activity (ISIC-Rev.4): Total;2079,87
Cyprus;CYP;2016;Economic activity (Aggregate): Total;2079,87
Cyprus;CYP;2017;Economic activity (ISIC-Rev.4): Total;2137,36
Cyprus;CYP;2017;Economic activity (Aggregate): Total;2137,36
Cyprus;CYP;2018;Economic activity (ISIC-Rev.4): Total;2289,87
Cyprus;CYP;2018;Economic activity (Aggregate): Total;2289,87
Czech Republic;CZE;2010;Economic activity (ISIC-Rev.4): Total;1407,51
Czech Republic;CZE;2010;Economic activity (Aggregate): Total;1407,51
Czech Republic;CZE;2011;Economic activity (ISIC-Rev.4): Total;1448,07
Czech Republic;CZE;2011;Economic activity (Aggregate): Total;1448,07
Czech Republic;CZE;2012;Economic activity (ISIC-Rev.4): Total;1334,85
Czech Republic;CZE;2012;Economic activity (Aggregate): Total;1334,85
Czech Republic;CZE;2013;Economic activity (ISIC-Rev.4): Total;1351,21
Czech Republic;CZE;2013;Economic activity (Aggregate): Total;1351,21
Czech Republic;CZE;2014;Economic activity (ISIC-Rev.4): Total;1291,2
Czech Republic;CZE;2014;Economic activity (Aggregate): Total;1291,2
Czech Republic;CZE;2015;Economic activity (ISIC-Rev.4): Total;1130,59
Czech Republic;CZE;2015;Economic activity (Aggregate): Total;1130,59
Czech Republic;CZE;2016;Economic activity (ISIC-Rev.4): Total;1188,87
Czech Republic;CZE;2016;Economic activity (Aggregate): Total;1188,87
Czech Republic;CZE;2017;Economic activity (ISIC-Rev.4): Total;1330,79
